country,director,genres,id_IMDb,name,rating_IMDb,year
СССР,Борис Эпштейн,игровое кино,unknown,«Чудотворец» из Бирюлёва,unknown,1958
unknown,Коити Масимо,"психологическая драма,киберпанк",unknown,,unknown,"2002,2003"
"Россия,Нидерланды",Илья Хржановский,драма,0445161,4 (фильм),6.5,2004
США,Пол Краудер,документальный,2518788,1 (документальный фильм),7.9,2013
Франция,"Оливье Накаш,Эрик Толедано","комедийная драма,бадди-муви",1675434,1+1 (фильм),8.5,2011
Чехословакия,Яромил Йиреш,"драма,военный",0122844,…и передайте привет ласточкам,6.8,1972
Великобритания,Питер Гринуэй,"документальный,музыкальный",0085562,4 американских композитора,7.4,1983
Австралия,Стив МакКаллум,криминальный,6301712,1 % (фильм),5.3,2017
США,Нил Бёргер,комедийная драма,1987680,1+1: Голливудская история,7.0,"2017,2019"
США,Рассел Малкэхи,"биографическая,спортивная,драма",0401088,3: История Дейла Эрнхардта,6.7,unknown
США,Бенни Бум,"байопик,драма,боевик",1666185,2pac: Легенда,5.9,2017
Чехословакия,Збынек Брыных,"драма,военный,арт-хаус",0123368,…а пятый всадник — Страх,7.2,1965
США,Лейф Тильден,"драма,мелодрама",2184233,1 миля до тебя,6.3,2017
Россия,Станислав Мареев,"драма,детектив",unknown,Бандитский Петербург. Фильм 7. Передел,unknown,2005
Индия,Раджкумар Хирани,"комедия,драма",1187043,3 идиота,8.4,2009
США,Гэбриэль Коуэн,драма,2123884,3 ночи в пустыне,4.6,2014
Франция,Рене Клер,комедия,0024480,14 июля (фильм),7.0,1933
Индия,Сенна Хегде,"документальный,драма,комедия",4570696,0-41*,8.9,2016
Россия,Ольга Савостьянова,публицистический,unknown,Гибель империи. Византийский урок,unknown,2008
Франция,Жан-Луи Гийерму,комедия,0417603,2 дурня в снегу,3.8,1977
США,Майкл Кёртис,"Криминальная мелодрама,Тюремная драма",0023731,20 000 лет в Синг-Синге,6.8,1932
"Испания,Франция",Рамон Саласар,"комедия,мюзикл",0421528,20 сантиметров,6.6,2005
США,Ричард Флейшер,"драма,стимпанк,приключенческий фильм",0046672,"20 000 лье под водой (фильм, 1954)",7.2,1954
СССР,Радомир Василевский,комедия,0083512,4:0 в пользу Танечки,6.9,1982
